"STATION","NAME","DATE","AWND","FMTM","PGTM","TAVG","TMAX","TMIN","WDF1","WDF2","WDF5","WDFG","WDFM","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-26",,," 0036",,"55","48",,,,"  270",,,,,"28.9",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-27",,," 0024",,"53","43",,,,"  293",,,,,"18.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-28",,," 1936",,"54","44",,,,"   45",,,,,"10.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-02-29",,," 2212",,"59","41",,,,"  293",,,,,"26.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-01",,," 1454",,"54","45",,,,"  293",,,,,"39.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-02",,," 1454",,"56","40",,,,"  293",,,,,"18.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-03",,," 1642",,"60","46",,,,"  248",,,,,"19.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-04",,," 1442",,"62","53",,,,"  225",,,,,"20.8",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-05",,," 1254",,"60","54",,,,"  203",,,,,"30.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-06",,," 1806",,"60","53",,,,"  293",,,,,"12.8",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-07",,," 1812",,"62","50",,,,"  338",,,,,"32.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-08",,," 1600",,"59","47",,,,"  315",,,,,"26.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-09",,," 2000",,"59","46",,,,"  315",,,,,"30.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-10",,," 1848",,"61","39",,,,"  293",,,,,"25.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-11",,," 1300",,"62","49",,,,"  293",,,,,"26.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-12",,," 1106",,"60","53",,,,"  180",,,,,"24.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-13",,," 1736",,"60","47",,,,"  293",,,,,"25.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-14",,," 1712",,"65","47",,,,"  293",,,,,"27.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-15",,," 1554",,"59","48",,,,"  293",,,,,"32.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-16",,," 0918",,"73","47",,,,"  360",,,,,"32.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-17",,," 0312",,"75","57",,,,"   68",,,,,"21.9",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-18",,," 1730",,"76","48",,,,"  293",,,,,"20.8",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-19",,," 1854",,"73","47",,,,"  315",,,,,"30.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-20",,," 1724",,"74","46",,,,"  315",,,,,"26.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-21",,," 1530",,"59","47",,,,"  315",,,,,"27.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-22",,," 1630",,"57","48",,,,"  293",,,,,"28.9",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-23",,," 1442",,"55","49",,,,"  293",,,,,"23.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-24",,," 1624",,"56","50",,,,"  293",,,,,"23.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-25",,," 1754",,"58","50",,,,"  293",,,,,"23.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-26",,," 2230",,"61","47",,,,"  203",,,,,"21.9",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-27",,," 1824",,"62","49",,,,"  248",,,,,"40.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-28",,," 1300",,"59","44",,,,"  315",,,,,"23.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-29",,," 2224",,"62","41",,,,"  225",,,,,"17.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-30",,," 1448",,"61","50",,,,"  293",,,,,"39.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-31",,," 0054",,"61","44",,,,"  293",,,,,"20.8",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-01",,," 1630",,"63","51",,,,"  293",,,,,"31.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-02",,," 1730",,"76","48",,,,"  293",,,,,"18.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-03",,," 2224",,"77","50",,,,"  315",,,,,"23.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-04",,," 1806",,"81","47",,,,"  315",,,,,"21.9",
